Câmera,Classe 0,Classe 1,Câmera,Classe 0,Classe 1
278,14305,10310,1926,7,0
286,9,0,1954,42,0
290,25,0,1965,765,9
294,45,0,1972,90,0
298,2207,6045,1981,45,0
299,5402,0,1985,9,0
300,9,0,1994,1708,122
301,0,78,2001,45,0
302,26,451,2002,26,270
303,135,0,2004,9,0
310,528,135,2005,431,0
312,0,595,2015,772,0
313,850,1558,2017,360,97
315,45,0,2038,15,0
326,10354,1112,2040,60,0
328,45,0,2047,89,0
331,495,0,2051,45,0
333,15,0,2052,374,0
339,331,125,2053,374,0
341,1245,135,2054,412,0
342,109,0,2055,450,0
345,0,45,2076,6,0
357,4,0,2088,14,0
358,38,0,2105,5,0
361,45,0,2107,54,0
363,1440,0,2126,8,0
365,951,130,2138,0,45
367,0,101,2140,20,0
370,430,0,2156,315,0
378,0,90,2157,315,0
384,162,225,2158,277,0
390,225,0,2160,0,9
392,0,24,2161,9,0
398,0,225,2165,1506,0
404,405,0,2166,1463,0
407,52,0,2167,1439,0
410,45,0,2190,30,0
414,225,0,2194,45,0
416,45,0,2195,0,9
418,232,0,2202,0,7
421,233,0,2204,450,0
423,0,180,2205,434,0
425,90,0,2206,922,0
430,1155,585,2214,0,180
432,467,0,2216,540,45
442,202,630,2218,45,0
446,21,0,2219,4031,0
448,7,0,2221,180,225
454,322,0,2228,9,0
455,367,0,2233,0,9
457,0,14,2238,405,0
460,344,0,2239,0,180
472,14,0,2243,0,275
480,45,0,2246,758,0
482,3097,0,2268,101,0
484,135,0,2270,90,225
500,0,5,2277,18,630
516,0,7,2278,90,45
517,6,0,2280,630,225
532,90,0,2296,250,0
547,135,0,2301,90,0
550,945,0,2308,9,0
561,45,810,2327,45,0
571,0,7,2347,720,0
572,0,108,2349,0,360
596,45,45,2360,45,0
600,10,0,2361,45,45
661,131,0,2365,30,374
662,147,0,2368,0,156
663,61,0,2379,42,0
664,136,0,2387,45,0
680,315,0,2396,45,225
681,19,0,2401,39,0
705,180,0,2426,135,0
724,270,45,2431,0,4
758,269,0,2445,15,0
766,810,10,2460,9,0
767,810,0,3016,14,0
770,1796,0,3019,6,0
782,45,0,3100,0,45
793,45,0,3103,0,218
842,1706,0,3104,90,0
846,945,0,3114,1063,0
869,900,0,3127,1181,0
894,45,0,3133,720,90
923,60,0,3134,45,450
963,495,0,3135,2706,135
1000,18,0,3147,45,0
1008,74,0,3162,15,0
1010,270,0,3181,7378,0
1014,11,0,3197,45,0
1015,100,0,3206,0,6
1018,0,4,3215,24,0
1020,64,0,3217,9,0
1026,838,0,3220,141,45
1027,928,0,3221,0,45
1061,135,0,3224,450,0
1073,1269,0,3254,0,15
1080,810,0,3255,0,24
1083,1495,1134,3260,405,0
1092,322,0,3261,8720,0
1099,0,720,3262,426,0
1110,9,0,3263,957,0
1111,54,0,3264,93,0
1119,264,1203,3265,2304,0
1120,169,25,3266,45,0
1121,171,0,3268,140,0
1123,945,0,3269,45,0
1128,0,14,3270,1042,90
1132,0,90,3278,35,0
1138,32,1052,3286,60,0
1139,17,1175,3287,0,15
1141,945,0,3290,1191,306
1144,45,0,3318,3060,0
1147,195,315,3323,90,495
1156,207,0,3324,45,0
1157,189,0,3346,15,0
1161,208,0,3347,45,270
1162,203,0,3358,180,0
1169,17,1621,3448,45,0
1170,18,1468,3533,315,0
1182,45,225,3545,277,0
1215,0,45,3550,0,15
1216,54,90,3558,270,0
1220,8,0,3581,90,0
1221,363,0,3594,0,6
1222,992,0,3596,9,0
1223,45,0,3600,0,14
1267,45,0,3627,0,135
1271,45,0,3638,45,0
